레시피일련번호,요리명,요리인분명_no,요리인분명,요리내용,재료명,중량,단위,재료분류
149207,토마토스파게티,1,1인분,[재료] 파스타면 [양념] 토마토 1개| 토마토 페이스트 3T| 양파 1/2개| 다진마늘 1T| 피망 1/2개| 올리브유 3T,올리브유 ,3,T,양념
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,건표고버섯 ,9,개,재료
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,오이 ,1/2개,-,재료
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,당근 ,1/2개,-,재료
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,양파 ,1/2개,-,재료
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,사과 ,1/2쪽,-,재료
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,그외의 야채,-,-,재료
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,과일,-,-,재료
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,녹말가루 ,2,C,녹말물
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,물 ,1,C,녹말물
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,계란 노른자 ,1,개,녹말물
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,물 ,2,C,탕수 소스
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,설탕 ,1/2C,-,탕수 소스
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,식초 ,3,T,탕수 소스
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,간장 ,1,T,탕수 소스
151148,표고버섯탕수,2,2인분,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,녹말물 ,2,T,탕수 소스
153040,갈릭치킨,2,2인분,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,통마늘 ,3,개,닭양념
153040,갈릭치킨,2,2인분,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,다진마늘 ,1,T,닭양념
153040,갈릭치킨,2,2인분,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,화이트와인또는우유,-,-,닭양념
153040,갈릭치킨,2,2인분,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,올리브유또는버터,-,-,닭양념
153040,갈릭치킨,2,2인분,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,마늘솔트또는소금,-,-,닭양념
153040,갈릭치킨,2,2인분,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,파인애플 ,2,쪽,샐러드 드레싱
153040,갈릭치킨,2,2인분,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,마요네즈 ,2,T,샐러드 드레싱
153040,갈릭치킨,2,2인분,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,머스터드 ,1,T,샐러드 드레싱
153040,갈릭치킨,2,2인분,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,식초,1/2T(또는 레몬즙),-,샐러드 드레싱
153040,갈릭치킨,2,2인분,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,꿀 ,1,T,샐러드 드레싱
221094,양파링튀김,2,2인분,[재료] 양파1개| 빵가루| 달걀 노른자1개| 밀가루1C| 물 약간| 파슬리 ,양파,1,개,재료
221094,양파링튀김,2,2인분,[재료] 양파1개| 빵가루| 달걀 노른자1개| 밀가루1C| 물 약간| 파슬리 ,빵가루,-,-,재료
221094,양파링튀김,2,2인분,[재료] 양파1개| 빵가루| 달걀 노른자1개| 밀가루1C| 물 약간| 파슬리 ,달걀 노른자,1,개,재료
221094,양파링튀김,2,2인분,[재료] 양파1개| 빵가루| 달걀 노른자1개| 밀가루1C| 물 약간| 파슬리 ,밀가루,1,C,재료
221094,양파링튀김,2,2인분,[재료] 양파1개| 빵가루| 달걀 노른자1개| 밀가루1C| 물 약간| 파슬리 ,물 ,약간,-,재료
221094,양파링튀김,2,2인분,[재료] 양파1개| 빵가루| 달걀 노른자1개| 밀가루1C| 물 약간| 파슬리 ,파슬리,-,-,재료
221097,참치삼각김밥,2,2인분,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,밥 ,2,공기,재료
221097,참치삼각김밥,2,2인분,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,참치캔 큰거 ,1,개,재료
221097,참치삼각김밥,2,2인분,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,양파,-,-,재료
221097,참치삼각김밥,2,2인분,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,다진김치,-,-,재료
221097,참치삼각김밥,2,2인분,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,김밥용김,-,-,재료
221097,참치삼각김밥,2,2인분,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,고추장,-,-,양념
221097,참치삼각김밥,2,2인분,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,다진마늘,-,-,양념
221097,참치삼각김밥,2,2인분,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,참기름,-,-,양념
221097,참치삼각김밥,2,2인분,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,맛소금,-,-,양념
221097,참치삼각김밥,2,2인분,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,마요네즈,-,-,양념
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,떡볶이떡 ,150,g,재료
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,당근 ,1/2개,-,재료
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,파 ,1,뿌리,재료
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,양파 ,1/2개,-,재료
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,양배추 ,1/4통,-,재료
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,어묵 ,2,장,재료
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,오징어,-,-,재료
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,새우,-,-,재료
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,조갯살,-,-,재료
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,홍합살,-,-,재료
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,고춧가루 ,2,T,양념장
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,고추장 ,1,T,양념장
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,물엿 ,1,T,양념장
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,간장 ,1,T,양념장
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,참기름 ,1,T,양념장
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,다진 마늘 ,1/2T,-,양념장
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,깨 ,1/2T,-,양념장
221098,뚝배기해물떡볶이,2,2인분,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,후추가루 ,약간,-,양념장
221101,스팸샌드위치,1,1인분,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,스팸 싱글 ,1,팩,재료
221101,스팸샌드위치,1,1인분,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,샌드위치용 식빵,2,쪽,재료
221101,스팸샌드위치,1,1인분,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,토마토 ,1,개,재료
221101,스팸샌드위치,1,1인분,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,상추 ,2,쪽,재료
221101,스팸샌드위치,1,1인분,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,치즈 ,1,장,재료
221101,스팸샌드위치,1,1인분,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,홀그레인머스터드,-,-,양념
221101,스팸샌드위치,1,1인분,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,허니머스터드,-,-,양념
221101,스팸샌드위치,1,1인분,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,다진양파,-,-,양념
221102,참치깻잎주먹밥,2,2인분,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,밥 ,2,공기,재료
221102,참치깻잎주먹밥,2,2인분,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,깻잎 ,10,장,재료
221102,참치깻잎주먹밥,2,2인분,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,참치 작은캔 ,1,개,재료
221102,참치깻잎주먹밥,2,2인분,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,당근,1/2개,-,재료
221102,참치깻잎주먹밥,2,2인분,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,조미 김,10,장,재료
221102,참치깻잎주먹밥,2,2인분,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,다진 마늘,1/4t개,-,양념
221102,참치깻잎주먹밥,2,2인분,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,깨소금,-,-,양념
221102,참치깻잎주먹밥,2,2인분,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,맛소금,-,-,양념
221102,참치깻잎주먹밥,2,2인분,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,참기름,-,-,양념
223583,새우볶음밥고로케,2,2인분,[재료] 새우 10마리| 밥 2공기| 김치 1/4포기| 당근 1/2개| 감자 1/2개| 양파 1/2개| 빵가루| 달걀| 밀가루,새우 ,10,마리,재료
223583,새우볶음밥고로케,2,2인분,[재료] 새우 10마리| 밥 2공기| 김치 1/4포기| 당근 1/2개| 감자 1/2개| 양파 1/2개| 빵가루| 달걀| 밀가루,밥 ,2,공기,재료
223583,새우볶음밥고로케,2,2인분,[재료] 새우 10마리| 밥 2공기| 김치 1/4포기| 당근 1/2개| 감자 1/2개| 양파 1/2개| 빵가루| 달걀| 밀가루,김치 ,1/4포기,-,재료
223583,새우볶음밥고로케,2,2인분,[재료] 새우 10마리| 밥 2공기| 김치 1/4포기| 당근 1/2개| 감자 1/2개| 양파 1/2개| 빵가루| 달걀| 밀가루,당근 ,1/2개,-,재료
223583,새우볶음밥고로케,2,2인분,[재료] 새우 10마리| 밥 2공기| 김치 1/4포기| 당근 1/2개| 감자 1/2개| 양파 1/2개| 빵가루| 달걀| 밀가루,감자 ,1/2개,-,재료
